movie_id,title,release_date,description,score,thumbnail,parsed_date,release_year,release_month,release_day
11235,Yi Yi,"October 6, 2000","This film portrays life through portraits of the individual members of a Taiwanese family, each representing a stage from birth to death.  [WinStar Cinema]",93,https://static.metacritic.com/images/products/movies/5/7e111c0c8a172a0bcf6c130398f70d40-98.jpg,2000-10-06,2000,10,6
11236,Beau Travail,"March 31, 2000","The soldiers of a small French Foreign Legion outpost spend their days practicing  drills and exercising.  Sergeant Galoup seems to be the perfect Legionnaire: a brooding, young loner who runs his troop efficiently until Sentain, a new recruit, arrives and threatens to upset the balance of his world.",91,https://static.metacritic.com/images/products/movies/0/6b8e99a660db754a41360cb36b3954fa-98.jpg,2000-03-31,2000,3,31
11240,Traffic,"December 27, 2000","Traffic evokes the high stakes and high risks of the drug trade, as seen through a series of interrelated stories, some of which are highly personal and some of which are filled with intrigue and danger.  (USA Films)",86,https://static.metacritic.com/images/products/movies/8/ee286eb9a5e54dad26db442429a787ec-98.jpg,2000-12-27,2000,12,27
11245,Calle 54,"October 20, 2000",This documentary features a behind-the-scenes look into the music of many of the premier contemporary Latin musicians.,84,https://static.metacritic.com/images/products/movies/5/6fe8eb5fe5caf617b8b45d387262a74e-98.jpg,2000-10-20,2000,10,20
11246,Quince Tree of the Sun,"May 5, 2000","A lovely portrait of celebrated Spanish painter Antonio Lopez Garcia as he paints the quince tree growing in his courtyard.  The two and a half hour film offers perspectives on everything from artistic vision, realism, painting and film to life, mortality and possibility of eternal rebirth.",82,https://static.metacritic.com/images/products/movies/1/757166a22d8f94c051d4a436c003b841-98.jpg,2000-05-05,2000,5,5
11248,The Filth and the Fury,"April 7, 2000","An English documentary by Julien Temple which details the short but tempestuous life of the punk rock band the Sex Pistols from the perspective of the band members themselves, unlike the 20-year-old Temple film ""The Great Rock 'n' Roll Swindle"" which focuses instead on the perspective of Malcolm McLaren, the band's controversial manager.",82,https://static.metacritic.com/images/products/movies/4/844558a3dd422597672d6a71ee505767-98.jpg,2000-04-07,2000,4,7
11252,Gimme Shelter (re-release),"August 11, 2000","This re-release of the 1970 classic documentary chronicles the Rolling Stones' American tour, culminating in the violence and death at the Altamont concert.",80,https://static.metacritic.com/images/products/movies/5/925d2f9504d8b53874944fc6eb84af19-98.jpg,2000-08-11,2000,8,11
11254,Spring Forward,"December 1, 2000","Upon release from prison, a young man (Schreiber) begins working for a small town's park departmant.  He forms a friendship with a co-worker, an older man (Beatty).",79,https://static.metacritic.com/images/products/movies/5/3c1486a6bd66b47b44ed98eea852555c-98.jpg,2000-12-01,2000,12,1
11257,High Fidelity,"March 31, 2000","In this biting romantic comedy, Rob Gordon (Cusack) is the owner of a semi-failing record store in Chicago, where he sells music the old-fashioned way -- on vinyl.  His needle, however, skips the love groove when his long-time girlfriend, Laura (Hjejle), walks out on him.  As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood.  (Touchstone Pictures)",79,https://static.metacritic.com/images/products/movies/5/f082cf73ff275f859a9c39c87d72e527-98.jpg,2000-03-31,2000,3,31
11259,Into the Arms of Strangers: Stories of the Kindertransport,"September 15, 2000","In an effort to remove Jewish children from Nazi territory in pre-World War II Europe, the ""Kindertransport"" sent children far away from their families to live with stangers, often never to see their parents again.  In this documentary, the aging survivors and their rescuers tell their moving stories.",79,https://static.metacritic.com/images/products/movies/9/619aab887a676d8973befdd2230213c4-98.jpg,2000-09-15,2000,9,15
11262,Thirteen,"June 2, 2000",The quasi-documentary story of a year in the life of 13-year-old Virginia native Nina and her mother.,78,https://static.metacritic.com/images/products/movies/98w-movie.jpg,2000-06-02,2000,6,2
11267,Pollock,"December 15, 2000","A look back into the life of an extraordinary man, a man who has fittingly been called ""an artist dedicated to concealment, a celebrity who nobody knew.""  (Sony Pictures Classics)",77,https://static.metacritic.com/images/products/movies/0/3a3b2599e8e868b10f688969a5c51b5b-98.jpg,2000-12-15,2000,12,15
11272,Ratcatcher,"October 13, 2000","The story of a twelve year old boy (Eadie) living in working-class Glasgow, Scotland during the 1970's garbage strikes, Ratcatcher portrays the difficulties of his reality and his desire to escape through dreams.",76,https://static.metacritic.com/images/products/movies/6/cfd98d02b6079294b5591af59c64175b-98.jpg,2000-10-13,2000,10,13
11274,Madadayo,"September 1, 2000",In 1943 a beloved professor begins writing full-time.  A series of events ensues including old students visiting and a fire that forces him to move.,76,https://static.metacritic.com/images/products/movies/2/5a0dd09c103a542f67b902c41270246e-98.jpg,2000-09-01,2000,9,1
11282,Croupier,"April 21, 2000","A struggling writer (Clive Owen) finds a job at a casino to support his craft and to collect material for his novel, but he becomes embroiled in the temptations that come with his new life.",75,https://static.metacritic.com/images/products/movies/1/3c0cf8c54b8c403e507575c27a58c160-98.jpg,2000-04-21,2000,4,21
11287,Joe Gould's Secret,"April 7, 2000","Filmmaker Stanley Tucci takes viewers into the poignant and sometimes humorous world of New York City in the 1940s. This is the true story of two men, one of whom would tell the other's story: famed ""The New Yorker"" writer Joseph Mitchell and New York bohemian Joe Gould.  [USA Films]",74,https://static.metacritic.com/images/products/movies/9/d3a4ce87310ecc46ef02a519d12f0976-98.jpg,2000-04-07,2000,4,7
11297,Les convoyeurs attendent,"March 17, 2000","In this Belgian comedy-drama, a father coerces his teenage son to pursue a world record in order to win a car.  He urges his son to become the record holder by opening and closing the most doors in a twenty-four hour period.",73,https://static.metacritic.com/images/products/movies/0/dfa8ba106338a01e4decedb5768f1d7f-98.jpg,2000-03-17,2000,3,17
11301,Meet the Parents,"October 6, 2000","When a young woman (Teri Polo) takes her fiancee (Ben Stiller) home to meet her parents (Robert De Niro, Blythe Danner), everything goes wrong.",73,https://static.metacritic.com/images/products/movies/9/249b9a9840df38ea502d5b9879b77cc6-98.jpg,2000-10-06,2000,10,6
11305,Wonder Boys,"February 25, 2000","Grady Tripp (Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award-winning Great American Novel seven years ago.  It's hardly surprising, then that his college's annual literary festival fills the former wonder boy with more than his usual quota of self-doubt and anxiety.  This festival weekend, however, proves even worse than he could have imagined as he finds himself reeling from one misadventure to another in the company of a new wonder boy, his most gifted writing student James Leer (Maguire).  (Paramount Pictures)",73,https://static.metacritic.com/images/products/movies/9/e91517b87ecee0add0374475276f7b9c-98.jpg,2000-02-25,2000,2,25
11311,The Ballad of Ramblin' Jack,"August 18, 2000",An extraordinary and remarkably humorous portrait of American folk music legend Ramblin' Jack Elliott. (Lot 47 Films),72,https://static.metacritic.com/images/products/movies/5/67b5f5f2a7e8fda517ec7c675a6f7b1c-98.jpg,2000-08-18,2000,8,18
11312,Wonderland,"July 28, 2000","This drama follows the lives of three generations of a working-class London family during a weekend of the annual ""Bonfire Night"" festival in London, focusing on the tangled family ties of three sisters, their parents, and the men in their lives.",71,https://static.metacritic.com/images/products/movies/8/977c11842832f550b6354091540ef7e9-98.jpg,2000-07-28,2000,7,28
11313,Me & Isaac Newton,"November 3, 2000","A feature length documentary about the creative side of the scientific endeavor, this is a journey into the hearts and minds of seven of the most distinguished scientists of our time.  (First Look Pictures)",71,https://static.metacritic.com/images/products/movies/1/ea0cb40519380982e92d74393b49991e-98.jpg,2000-11-03,2000,11,3
11317,Shadow of the Vampire,"December 29, 2000","A witty, atmospheric, and deliciously feverish tale inspired by the great German film director F. W. Murnau and the making of his unforgettable ""Nosferatu.""  (Lions Gate Films)",71,https://static.metacritic.com/images/products/movies/6/1038fcb2c5b6c2f479ece5f08645ccdc-98.jpg,2000-12-29,2000,12,29
11318,Sunshine,"June 9, 2000",The story of three generations of scions during the tragic and turbulent history of Hungary in the 20th century.  Fiennes plays all three leads.,71,https://static.metacritic.com/images/products/movies/0/2fb27664389297715003044920966ed2-98.jpg,2000-06-09,2000,6,9
