budget,cast,certification,company,director,genres,gross_sales,id,opening_weekend,producer,release_date,runtime,title,user_rating,votes,budget_usd,opening_weekend_usd,gross_sales_usd,runtime_numeric,user_rating_numeric,votes_numeric,mpaa_rating,release_year,release_month,release_day
"$23,000,000 (estimated)","Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke, Daniel Roebuck, Roger Guenveur Smith, Chad Donella, Seann William Scott, Tony Todd, Amanda Detmer",R,"New Line Cinema, Zide-Perry Productions, Hard Eight Pictures",James Wong,"Horror, Thriller","$112,880,294",195714,"$10,015,822, 19 Mar 2000","Chris Bender, Richard Brener, Glen Morgan, Craig Perry, Art Schaefer",2000-03-16,98,Final Destination,6.7,257159,23000000.0,10015822.0,112880294.0,98,6.7,257159,R,2000,3,16
"$19,000,000 (estimated)","Carmen Electra, Dave Sheridan, Frank B. Moore, Giacomo Baessato, Kyle Graham, Leanne Santos, Mark McConchie, Karen Kruper, Anna Faris, Jon Abrahams","TV-MA, TV-14::(DLSV), R, TV-14","Dimension Films, Wayans Bros. Entertainment, Gold/Miller Productions, Brad Grey Pictures",Keenen Ivory Wayans,Comedy,"$278,019,771",175142,"$42,346,669, 09 Jul 2000","Andra Dalto, Eric L. Gold, Cary Granat, Brad Grey, Robb Wilson King",2000-07-07,88,Scary Movie,6.2,262378,19000000.0,42346669.0,278019771.0,88,6.2,262378,R,2000,7,7
"$54,000,000 (estimated)","Gerard Butler, Christopher Plummer, Jonny Lee Miller, Justine Waddell, Vitamin C, Jennifer Esposito, Omar Epps, Sean Patrick Thomas, Danny Masterson, Lochlyn Munro",R::(certificate no. 37918),"Dimension Films, Neo Art & Logic, Wes Craven Films, Carfax Productions Ltd.",Patrick Lussier,"Action, Fantasy, Horror, Thriller","$47,053,625",219653,"$8,636,567, 25 Dec 2000","Daniel K. Arredondo, W.K. Border, Wes Craven, Enfys Dickinson, Marianne Maddalena",2000-12-22,99,Dracula 2000,4.9,34396,54000000.0,8636567.0,47053625.0,99,4.9,34396,,2000,12,22
"$75,000,000 (estimated)","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn",PG-13,"Twentieth Century Fox, Marvel Enterprises, Donners' Company, Bad Hat Harry Productions, Springwood Productions",Bryan Singer,"Action, Adventure, Sci-Fi","$296,339,527",120903,"$54,471,475, 16 Jul 2000","Avi Arad, Tom DeSanto, Richard Donner, Matthew Edelman, Kevin Feige",2000-07-12,104,X-Men,7.3,615602,75000000.0,54471475.0,296339527.0,104,7.3,615602,PG-13,2000,7,12
"$48,000,000 (estimated)","Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor, Orlando Jones, Paul Adelstein, Toby Huss, Gabriel Casseus, Brian Doyle-Murray, Jeff Doucette",PG-13,"Twentieth Century Fox, New Regency Productions, KirchMedia",Harold Ramis,"Comedy, Fantasy",,230030,,"Trevor Albert, Michael Haley, Suzanne Herrington, Neil A. Machlis, Harold Ramis",2000-10-17,93,Bedazzled,6.1,105187,48000000.0,,,93,6.1,105187,PG-13,2000,10,17
"$110,000,000 (estimated)","Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tchéky Karyo, Rene Auberjonois, Lisa Brenner, Tom Wilkinson, Donal Logue","R, Unrated","Columbia Pictures, Centropolis Entertainment, Mutual Film Company, Global Entertainment Productions GmbH & Company Medien KG, H2L Media Group",Roland Emmerich,"Action, Drama, History, War","$215,294,342",187393,"$22,413,710, 02 Jul 2000","Michael Dahan, Dean Devlin, Roland Emmerich, Ute Emmerich, William Fay",2000-06-27,165,The Patriot,7.2,275875,110000000.0,22413710.0,215294342.0,165,7.2,275875,R,2000,6,27
"$123,000,000 (estimated)","Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor, Christine Baranski, Bill Irwin, Molly Shannon, Clint Howard, Josh Ryan Evans, Mindy Sterling","TV-PG::(LV), PG","Universal Pictures, Imagine Entertainment, LUNI Productions GmbH and Company KG",Ron Howard,"Comedy, Family, Fantasy","$345,141,403",170016,"$55,082,330, 19 Nov 2000","Brian Grazer, Todd Hallowell, Linda Fields Hill, Ron Howard, Aldric La'auli Porter",2000-11-08,104,How the Grinch Stole Christmas,6.2,246126,123000000.0,55082330.0,345141403.0,104,6.2,246126,PG,2000,11,8
"$33,000,000 (estimated)","Jennifer Lopez, Colton James, Dylan Baker, Marianne Jean-Baptiste, Gerry Becker, Musetta Vander, Patrick Bauchau, Vincent D'Onofrio, Catherine Sutherland, Vince Vaughn","TV-14::(LSV, TV Rating.), R","New Line Cinema, Caro-McLeod, RadicalMedia, Katira Productions GmbH & Co. KG, Avery Pix",Tarsem Singh,"Crime, Horror, Sci-Fi, Thriller","$104,155,843",209958,"$17,515,050, 20 Aug 2000","Julio Caro, Donna Langley, Carolyn Manetti, Eric McLeod, Mark Protosevich",2000-08-17,107,The Cell,6.4,103609,33000000.0,17515050.0,104155843.0,107,6.4,103609,R,2000,8,17
"$85,000,000 (estimated)","Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans, Tom Lister Jr., Rodney Dangerfield, Allen Covert, Peter Dante, Jonathan Loughran, Robert Smigel",PG-13,"Avery Pix, Happy Madison Productions, New Line Cinema, RSC Media, Robert Simonds Productions",Steven Brill,"Comedy, Fantasy","$58,292,295",185431,"$16,063,904, 12 Nov 2000","Allen Covert, Michael De Luca, Robert Engelman, Jack Giarraputo, Michelle Holdsworth",2000-11-02,90,Little Nicky,5.3,106462,85000000.0,16063904.0,58292295.0,90,5.3,106462,PG-13,2000,11,2
"$100,000,000 (estimated)","Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar, Harrison Ford, Victoria Bidewell, Diana Scarwid, Dennison Samaroo, Jennifer Tung, Eliott Goretsky",PG-13,"Dreamworks Pictures, Twentieth Century Fox, ImageMovers",Robert Zemeckis,"Drama, Horror, Mystery, Thriller","$291,420,351",161081,"$29,702,959, 23 Jul 2000","Steven J. Boyd, Joan Bradshaw, Mark Johnson, Cherylanne Martin, Jack Rapke",2000-01-01,130,What Lies Beneath,6.6,127494,100000000.0,29702959.0,291420351.0,130,6.6,127494,PG-13,2000,1,1
"$35,000,000 (estimated)","Jonathan Lipnicki, Richard E. Grant, Jim Carter, Alice Krige, Pamela Gidley, Tommy Hinkley, Anna Popplewell, Dean Cook, Rollo Weeks, John Wood",PG,"Avrora Media, Comet Film Produktion GmbH, Cometstone Pictures, Cometstone Productions, Propaganda Films",Uli Edel,"Adventure, Comedy, Family, Fantasy","$27,965,865",192255,,"Klaus Bauschulte, Alexander Buchman, Richard Claus, Samuel Hadida, Carsten H.W. Lorenz",2000-08-18,95,The Little Vampire,5.7,10715,35000000.0,,27965865.0,95,5.7,10715,PG,2000,8,18
"$43,000,000 (estimated)","Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins, Azura Skye, Steve Buscemi, Alan Tudyk, Mike O'Malley, Marianne Jean-Baptiste, Reni Santoni",PG-13,"Columbia Pictures, Tall Trees Productions",Betty Thomas,"Comedy, Drama","$62,198,945",191754,"$10,310,672, 16 Apr 2000","Celia D. Costas, Jenno Topping",2000-02-08,103,28 Days,6.1,50658,43000000.0,10310672.0,62198945.0,103,6.1,50658,PG-13,2000,2,8
"$48,000,000 (estimated)","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo, Tomas Milian, J.R. Yenque, Emilio Rivera, Michael O'Neill, Michael Douglas, Russell G. Jones",R,"The Bedford Falls Company, Initial Entertainment Group (IEG), USA Films, Compulsion Inc., Splendid Medien AG",Steven Soderbergh,"Crime, Drama, Thriller","$207,515,725",181865,"$15,517,549, 05 Jan 2001","Laura Bickford, Marshall Herskovitz, Cameron Jones, Graham King, Andreas Klein",2000-12-06,147,Traffic,7.6,208087,48000000.0,15517549.0,207515725.0,147,7.6,208087,R,2000,12,6
"$2,000,000 (estimated)","Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche, Jorge Salinas, Marco Pérez, Rodrigo Murray, Humberto Busto, Gerardo Campbell",R,"Altavista Films, Zeta Film",Alejandro G. Iñárritu,"Drama, Thriller",,245712,,"Guillermo Arriaga, Raúl Olvera Ferrer, Francisco González Compeán, Pelayo Gutiérrez, Alejandro G. Iñárritu",2000-05-14,154,Amores perros,8.1,240828,2000000.0,,,154,8.1,240828,R,2000,5,14
"$11,000,000 (estimated)","Ice Cube, Mike Epps, Justin Pierce, John Witherspoon, Don 'D.C.' Curry, Jacob Vargas, Lobo Sebastian, Rolando Molina, Lisa Rodríguez, Tom Lister Jr.","TV-14::(DLSV, TV Rating.), R","New Line Cinema, Cube Vision",Steve Carr,Comedy,"$59,827,328",195945,"$16,918,226, 16 Jan 2000","Matt Alvarez, Douglas Curtis, Michael Gruber, Ice Cube, Matt Moore",2000-01-11,98,Next Friday,6.1,41252,11000000.0,16918226.0,59827328.0,98,6.1,41252,R,2000,1,11
"$29,000,000 (estimated)","Amanda Schull, Christine Dunham, Stephen Stout, Maryann Plunkett, Laura Hicks, Barbara Caruso, Jeff Hayenga, Zoe Saldana, Victor Anthony, Karen Shallo",PG-13,"Columbia Pictures, Laurence Mark Productions",Nicholas Hytner,"Drama, Music, Romance",,210616,"$4,604,621, 14 May 2000","Caroline Baron, Laurence Mark",2000-05-12,115,Center Stage,6.6,21794,29000000.0,4604621.0,,115,6.6,21794,PG-13,2000,5,12
"$13,000,000 (estimated)","Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff, Kristy Swanson, David Herman, Hal Sparks, Charlie O'Connell, John Toles-Bey, Christian Middelthon",PG-13,"Twentieth Century Fox, Alcon Entertainment",Danny Leiner,"Comedy, Mystery, Sci-Fi","$73,180,723",242423,"$13,845,914, 17 Dec 2000","Broderick Johnson, Andrew A. Kosove, Gil Netter, Nancy Paloian, Wayne Allan Rice",2000-12-10,83,"Dude, Where's My Car?",5.5,140668,13000000.0,13845914.0,73180723.0,83,5.5,140668,PG-13,2000,12,10
